node_id,node_type,label,author_channel_id,video_id,title,channel_name,category,view_count,has_observed_edge
author::UCW80DaMjQlEUibC98Cot-Dg,author,@rogeraldana4289,UCW80DaMjQlEUibC98Cot-Dg,,,,,,True
author::UCWIZUtKJ636y-4TYrNvok0g,author,@cesarandreas7824,UCWIZUtKJ636y-4TYrNvok0g,,,,,,True
author::UCWWkebAekppaL5b5CNlppuw,author,@ninettmartinez425,UCWWkebAekppaL5b5CNlppuw,,,,,,True
author::UCWaRixDdpgllTBf4V0jPnKQ,author,@hectormaaz5523,UCWaRixDdpgllTBf4V0jPnKQ,,,,,,True
author::UCWoAVGVqCn4xtINCMOTM4jg,author,@OmarMartinez-vv8re,UCWoAVGVqCn4xtINCMOTM4jg,,,,,,True
author::UCWvntqPQx99k_Z_skWKqNSA,author,@AntonioChiyal-x5s,UCWvntqPQx99k_Z_skWKqNSA,,,,,,True
author::UCXN2s7DwTJm33xO-pNkAdaA,author,@edithsan7688,UCXN2s7DwTJm33xO-pNkAdaA,,,,,,True
author::UCXO1BBohNWXkK9SBDAG2ySg,author,@JBFlute92,UCXO1BBohNWXkK9SBDAG2ySg,,,,,,True
author::UCXSkL3ejZ8qWYyF_M7s_QKA,author,@JacintaTzoy,UCXSkL3ejZ8qWYyF_M7s_QKA,,,,,,True
author::UCXVLc8CmAO813ubM-fLvCDw,author,@herminiasaquimux7565,UCXVLc8CmAO813ubM-fLvCDw,,,,,,True
author::UCXXh7yg5KUFIWylTiKVEFKQ,author,@MrDuenderojo,UCXXh7yg5KUFIWylTiKVEFKQ,,,,,,True
author::UCXgr7vXlRrsaskPdo097kGA,author,@Rogergh-nw4oj,UCXgr7vXlRrsaskPdo097kGA,,,,,,True
author::UCXl30Y_upRqbti52fmjK4YA,author,@capitanfrans,UCXl30Y_upRqbti52fmjK4YA,,,,,,True
author::UCXmrpc6Li0spcKxtS0Q_ptg,author,@melvinperez6710,UCXmrpc6Li0spcKxtS0Q_ptg,,,,,,True
author::UCXr8_5WtGeipe4haOoQDgyQ,author,@amyherrera7352,UCXr8_5WtGeipe4haOoQDgyQ,,,,,,True
author::UCY7Hq7F9Lnucf-Yr6JkHZNw,author,@maynorcalel1442,UCY7Hq7F9Lnucf-Yr6JkHZNw,,,,,,True
author::UCYN4wSQ1Sx4_LurxLlW7MPg,author,@belarminavillatoro6474,UCYN4wSQ1Sx4_LurxLlW7MPg,,,,,,True
author::UCYwpX26TrCxq8TvbKGRYLXA,author,@beneficioelcaminovillacana8540,UCYwpX26TrCxq8TvbKGRYLXA,,,,,,True
author::UCZ51R_9Q9C0c8I3pAWhtmjQ,author,@belvettzapeta1251,UCZ51R_9Q9C0c8I3pAWhtmjQ,,,,,,True
author::UCZFQwqh90apuL8eFhvRBkUg,author,@luisricardo9671,UCZFQwqh90apuL8eFhvRBkUg,,,,,,True
author::UCZIQnb1fkwe39Iw2TAu-bGA,author,@jorgegomez2237,UCZIQnb1fkwe39Iw2TAu-bGA,,,,,,True
author::UCZLG9qH0tUjNhEGFIUt0CYw,author,@SoniaMarroquin-y6e,UCZLG9qH0tUjNhEGFIUt0CYw,,,,,,True
author::UCZOmq6MwFDVoCaEl99BRRaw,author,@daniloarevalo3170,UCZOmq6MwFDVoCaEl99BRRaw,,,,,,True
author::UCZeIIQrGAedW8tCbKWmGY-A,author,@mariocordon8873,UCZeIIQrGAedW8tCbKWmGY-A,,,,,,True
author::UCZjm6U576nX8WOiLhmMR3bw,author,@MariaNavarroYT,UCZjm6U576nX8WOiLhmMR3bw,,,,,,True
author::UC_3xuTXvMIWU5MYP9HkJ3vQ,author,@Historia-wm4os,UC_3xuTXvMIWU5MYP9HkJ3vQ,,,,,,True
author::UC_6KbBY1bsYXz9fwFS0eQRg,author,@imrcp5694,UC_6KbBY1bsYXz9fwFS0eQRg,,,,,,True
author::UC_LYoGs5C3mbZKZuKuqYCvw,author,@javiercifuentesarchila6041,UC_LYoGs5C3mbZKZuKuqYCvw,,,,,,True
author::UC_NRVt2UP88ZNTwzrZ66JSg,author,@aditalissethevasquezrojas8039,UC_NRVt2UP88ZNTwzrZ66JSg,,,,,,True
author::UC_ljZ1hZXR9pzexFz87P5ZA,author,@ChRiStOpHeR7969,UC_ljZ1hZXR9pzexFz87P5ZA,,,,,,True
author::UCa36MjQLoPAmgJo-R3G8WQA,author,@elsasalguero6914,UCa36MjQLoPAmgJo-R3G8WQA,,,,,,True
author::UCaKAjTW9MVub_clgr4DRYjQ,author,@josecastillo4390,UCaKAjTW9MVub_clgr4DRYjQ,,,,,,True
author::UCaT4saRcyqCLE657Rq2hhZQ,author,@elmilenial4064,UCaT4saRcyqCLE657Rq2hhZQ,,,,,,True
author::UCaT6M2zp7X6r6Whd8Vv3kHQ,author,@alexarcos8349,UCaT6M2zp7X6r6Whd8Vv3kHQ,,,,,,True
author::UCat2qkYvqmtDNEmo2PVuhXw,author,@DoraSalas-j5o,UCat2qkYvqmtDNEmo2PVuhXw,,,,,,True
author::UCbNanjFI51cwGqMAb2rOrBw,author,@RosaMontesdeOca777,UCbNanjFI51cwGqMAb2rOrBw,,,,,,True
author::UCbYoNG5J3Au5BqtbXogfEFw,author,@Luis-gn3fj,UCbYoNG5J3Au5BqtbXogfEFw,,,,,,True
author::UCbrtvygfRT6QXqWDNrOf-cA,author,@Alejandro00710,UCbrtvygfRT6QXqWDNrOf-cA,,,,,,True
author::UCcFIBN-rtC3d3hXeuN5TfWw,author,@DenisRMC,UCcFIBN-rtC3d3hXeuN5TfWw,,,,,,True
author::UCc_F88PzGWtA1OPNUEASulA,author,@rockyscarlet,UCc_F88PzGWtA1OPNUEASulA,,,,,,True
author::UCcfdg8crmMJwEuLUsAhV7yg,author,@RolandoRaguay,UCcfdg8crmMJwEuLUsAhV7yg,,,,,,True
author::UCdFlugHJJa4l3YqWuNRmvXw,author,@MarcosCarillo-b1r,UCdFlugHJJa4l3YqWuNRmvXw,,,,,,True
author::UCdQAuWwyC99MB7Y02Umj26Q,author,@miguelbran1268,UCdQAuWwyC99MB7Y02Umj26Q,,,,,,True
author::UCe8JZoYkX5oKUZyivHYdXhw,author,@FernandoGarcia-jg1fj,UCe8JZoYkX5oKUZyivHYdXhw,,,,,,True
